name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T19,ID
"data, visual, visualization, users, study, interactive, based, method, using, analysis",A Partition-Based Framework for Building and Validating Regression Models,3,5,8,4,16,2,9,18,11,20,13,19,17,12,15,7,1,10,6,14,1
"data, visual, using, visualization, study, interactive, users, analysis, system, visualizations",Decision Exploration Lab: A Visual Analytics Solution for Decision Management,6,5,1,2,7,8,9,17,18,14,3,4,12,13,11,10,16,19,15,20,2
"data, time, study, interactive, users, visual, using, method, use, visualization",Vis4Heritage: Visual Analytics Approach on Grotto Wall Painting Degradations,19,17,14,7,8,3,11,12,9,2,1,5,13,6,16,18,15,4,10,20,3
"data, visual, visualization, based, users, analysis, visualizations, method, different, techniques",UTOPIAN: User-Driven Topic Modeling Based on Interactive Nonnegative Matrix Factorization,7,16,12,20,19,2,3,9,14,1,6,15,13,5,10,17,8,4,18,11,4
"data, users, visual, system, based, visualization, method, analysis, visualizations, time",HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,1,11,8,4,16,10,13,15,7,14,5,20,17,2,9,18,3,6,12,19,5
"data, visual, visualization, based, visualizations, analysis, time, method, techniques, system",Visual Analysis of Topic Competition on Social Media,8,1,3,11,10,13,6,14,18,9,15,20,12,2,4,5,7,17,16,19,6
"data, visual, visualization, using, analysis, users, techniques, results, visualizations, time",ScatterBlogs2: Real-Time Monitoring of Microblog Messages through User-Guided filtering,9,5,15,1,11,8,7,18,12,6,3,4,14,20,13,2,10,19,16,17,7
"data, method, visual, using, visualization, users, based, study, interactive, visualizations",Visual Analytics for Multimodal Social Network Analysis: A Design Study with Social Scientists,2,11,15,1,13,8,17,14,5,16,7,6,10,18,9,3,12,4,20,19,8
"data, visual, visualization, using, users, visualizations, system, analysis, time, method",Explainers: Expert Explorations with Crafted Projections,1,12,20,5,6,8,9,4,7,17,11,10,14,13,18,3,15,2,16,19,9
"data, users, visual, based, different, visualizations, system, visualization, using, analysis",Semantics of Directly Manipulating Spatializations,9,3,18,2,13,6,7,17,14,5,15,1,12,11,4,19,8,10,16,20,10
"data, visual, visualization, analysis, method, techniques, users, visualizations, study, interactive",SketchPadN-D: WYDIWYG Sculpting and Editing in High-Dimensional Space,2,3,12,13,19,8,18,14,11,1,7,6,5,17,4,9,16,15,10,20,11
"data, visual, system, visualization, visualizations, study, interactive, users, analysis, based",Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System,5,2,9,4,11,12,18,7,14,10,3,19,16,13,15,6,8,1,17,20,12
"data, visual, based, visualization, using, analysis, method, users, system, visualizations",Interactive Exploration of Implicit and Explicit Relations in Faceted Datasets,10,19,2,5,17,7,8,12,11,9,4,1,14,16,13,3,15,18,6,20,13
"data, visual, visualizations, visualization, based, method, using, analysis, users, system",VAICo: Visual Analysis for Image Comparison,7,18,15,8,13,3,2,17,5,1,4,10,11,16,6,12,19,14,9,20,14
"data, users, using, visual, visualization, study, interactive, time, results, analysis",Open-Box Spectral Clustering: Applications to Medical Image Analysis,8,13,3,2,19,9,11,4,5,6,12,16,10,18,15,17,14,7,1,20,15
"data, visualizations, visual, method, study, interactive, system, based, visualization, using",Transformation of an Uncertain Video Search Pipeline to a Sketch-Based Visual Analytics Loop,2,6,18,5,17,16,8,7,15,13,4,1,19,3,9,10,14,11,12,20,16
"data, based, method, visual, using, study, interactive, visualization, visualizations, results",Interactive Exploration of Surveillance Video through Action Shot Summarization and Trajectory Visualization,1,6,16,3,12,13,2,17,5,4,20,14,10,7,19,11,8,9,18,15,17
"data, visual, using, visualization, based, visualizations, analysis, users, results, method",Space-Time Visual Analytics of Eye-Tracking Data for Dynamic Stimuli,5,4,11,2,19,8,1,12,15,14,6,17,16,13,20,3,9,7,10,18,18
"data, visual, method, using, visualization, different, system, time, study, interactive",An Extensible Framework for Provenance in Human Terrain Visual Analytics,17,20,2,6,18,7,10,19,8,4,1,3,11,14,16,9,12,5,15,13,19
"data, visual, visualization, analysis, users, techniques, based, method, using, paper",Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,7,3,5,1,15,4,11,6,8,2,13,10,18,20,9,19,14,12,16,17,20
"data, based, visual, method, visualization, visualizations, study, interactive, analysis, system",Visual Traffic Jam Analysis Based on Trajectory Data,8,3,14,7,9,10,15,20,5,6,4,13,11,19,17,2,18,1,12,16,21
"data, visualizations, time, visual, using, visualization, method, based, different, system",Space Transformation for Understanding Group Movement,7,2,20,11,17,3,1,12,10,6,8,16,4,5,18,15,13,9,19,14,22
"data, visual, visualization, time, system, based, analysis, using, users, visualizations",Visual Analytics for Spatial Clustering: Using a Heuristic Approach for Guided Exploration,4,8,2,19,20,13,5,15,16,1,7,9,17,11,3,10,12,14,6,18,23
"data, visual, visualization, users, analysis, visualizations, time, system, techniques, study",Supporting Awareness through Collaborative Brushing and Linking of Tabular Data,6,12,20,18,14,10,1,2,19,8,5,15,7,16,3,11,9,4,17,13,24
"data, visual, users, time, visualizations, system, study, interactive, visualization, based",Identifying Redundancy and Exposing Provenance in Crowdsourced Data Analysis,4,3,12,2,1,13,15,19,11,5,6,7,8,17,20,16,10,14,9,18,25
"data, visual, based, using, users, visualization, time, system, visualizations, present",The Impact of Physical Navigation on Spatial Organization for Sensemaking,8,13,14,3,16,11,2,1,17,15,5,12,6,18,10,9,19,7,4,20,26
"data, visualizations, using, based, system, results, visual, method, users, time",Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design,14,7,18,1,10,4,2,15,19,3,11,9,13,17,5,6,16,8,12,20,27
"data, visual, visualization, analysis, users, techniques, different, visualizations, based, paper",Temporal Event Sequence Simplification,1,17,10,12,19,9,7,13,14,16,2,6,18,5,8,4,15,3,11,20,28
"data, visual, visualization, visualizations, study, interactive, analysis, techniques, using, users",Visual Analytics for Model Selection in Time Series Analysis,9,7,11,19,12,3,5,2,16,4,1,8,17,13,15,6,10,20,18,14,29
"data, visual, visualization, analysis, techniques, visualizations, method, based, paper, design",TimeBench: A Data Model and Software Library for Visual Analytics of Time-Oriented Data,4,12,14,1,13,7,16,11,9,8,2,10,15,5,17,6,18,3,19,20,30
"data, visual, visualization, analysis, techniques, visualizations, users, paper, design, approach",MotionExplorer: Exploratory Search in Human Motion Capture Data Based on Hierarchical Aggregation,2,7,19,3,20,8,9,13,4,6,1,16,10,17,12,15,5,11,14,18,31
"data, visual, using, users, visualization, system, based, results, analysis, method",Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes,4,9,16,2,13,20,6,12,18,3,1,11,19,14,17,5,7,8,10,15,32
"data, visual, visualization, users, analysis, method, techniques, system, using, visualizations",LineUp: Visual Analysis of Multi-Attribute Rankings,1,2,17,13,9,10,11,14,16,7,5,6,8,18,19,12,4,3,15,20,33
"data, users, visual, system, visualization, visualizations, analysis, using, different, based",A Model for Structure-Based Comparison of Many Categories in Small-Multiple Displays,8,11,15,3,10,4,2,12,18,5,16,6,7,14,9,13,1,17,20,19,34
"data, visualizations, visual, visualization, method, time, users, analysis, system, using",Common Angle Plots as Perception-True Visualizations of Categorical Associations,2,6,9,14,20,13,4,16,18,12,15,10,11,1,8,7,3,5,17,19,35
"data, visual, visualization, method, analysis, visualizations, different, techniques, users, time",What Makes a Visualization Memorable?,6,5,16,3,8,4,12,17,10,1,2,20,9,11,18,14,15,7,13,19,36
"data, users, visual, method, based, visualization, visualizations, study, interactive, time",Perception of Average Value in Multiclass Scatterplots,2,13,8,16,18,4,12,5,17,14,1,11,7,19,15,6,9,10,3,20,37
"data, visual, visualization, based, analysis, users, visualizations, techniques, time, study",Selecting the Aspect Ratio of a Scatter Plot Based on Its Delaunay Triangulation,14,7,15,2,9,3,8,13,16,6,1,4,12,5,19,10,18,17,11,20,38
"data, visual, visualization, analysis, techniques, study, interactive, based, method, users",,1,10,20,11,15,2,6,9,17,13,5,16,12,14,18,4,7,3,8,19,39
"data, users, visual, visualization, study, interactive, using, method, analysis, time",Hybrid-Image Visualization for Large Viewing Environments,1,3,16,12,19,9,7,8,5,6,2,4,15,11,14,13,10,18,17,20,40
"data, method, visual, visualization, based, system, users, visualizations, analysis, using",An Empirically-Derived Taxonomy of Interaction Primitives for Interactive Cartography and Geovisualization,4,19,14,3,10,1,7,17,15,5,2,8,13,12,6,11,18,16,9,20,41
"data, visualizations, method, visual, users, system, visualization, study, interactive, using",A Design Space of Visualization Tasks,11,15,17,2,20,3,7,6,8,14,12,18,13,16,10,4,1,5,9,19,42
"data, using, visualizations, users, study, interactive, visual, based, method, results",A Multi-Level Typology of Abstract Visualization Tasks,3,14,16,11,5,2,20,7,17,1,10,19,8,4,6,12,13,9,15,18,43
"users, data, using, study, interactive, system, results, time, visualizations, method",Information Visualization and Proxemics: Design Opportunities and Empirical findings,9,6,17,10,8,12,3,4,5,19,1,14,13,18,15,16,2,11,20,7,44
"data, visual, method, users, visualization, based, using, system, analysis, study",An Interaction Model for Visualizations Beyond The Desktop,1,19,7,4,2,9,18,17,16,5,3,6,10,11,14,15,12,8,13,20,45
"data, time, visual, users, based, visualization, study, interactive, use, visualizations",A Deeper Understanding of Sequence in Narrative Visualization,9,5,8,7,19,16,4,18,3,6,2,17,11,12,10,1,13,20,14,15,46
"data, visualizations, using, based, visual, time, results, visualization, users, study",SketchStory: Telling More Engaging Stories with Data through Freeform Sketching,6,4,7,9,15,18,5,2,10,16,8,3,12,14,17,11,19,1,20,13,47
"data, users, method, time, visual, visualizations, visualization, study, interactive, use",Using Concrete Scales: A Practical Framework for Effective Visual Depiction of Complex Measures,6,8,10,13,20,2,12,18,16,4,3,11,9,17,1,5,7,14,15,19,48
"data, visual, visualization, analysis, visualizations, techniques, based, system, method, paper",StoryFlow: Tracking the Evolution of Stories,5,3,13,8,15,9,20,6,14,17,1,7,18,4,19,2,16,11,12,10,49
"data, using, users, visualizations, visual, study, interactive, system, results, based",Visual Sedimentation,3,17,18,15,2,7,1,9,19,13,12,6,10,14,11,5,8,4,16,20,50
"data, visual, users, visualization, using, based, study, interactive, visualizations, different",Nanocubes for Real-Time Exploration of Spatiotemporal Datasets,4,8,10,2,20,11,1,12,17,6,5,18,15,16,9,13,7,3,14,19,51
"data, visual, visualization, analysis, based, techniques, study, interactive, visualizations, system",Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems,9,8,13,18,12,7,15,16,5,4,3,6,2,10,19,1,14,17,11,20,52
"data, users, visual, visualizations, using, based, visualization, study, interactive, method",Evaluation of filesystem Provenance Visualization Tools,12,8,6,1,14,10,4,16,18,7,5,13,11,3,19,2,15,9,17,20,53
"data, users, visual, based, visualization, time, using, visualizations, system, analysis",Visualizing Fuzzy Overlapping Communities in Networks,8,7,13,2,10,1,6,11,14,12,16,4,15,3,9,19,17,5,20,18,54
"data, time, visual, using, visualizations, visualization, use, method, study, interactive",Radial Sets: Interactive Visual Analysis of Large Overlapping Sets,1,11,19,7,8,6,9,14,3,2,5,20,16,10,13,12,4,15,17,18,55
"data, visual, visualization, analysis, time, techniques, system, visualizations, based, users",SoccerStories: A Kick-off for Visual Soccer Analysis,1,14,11,3,12,5,7,15,19,4,6,18,2,16,17,10,9,8,13,20,56
"data, visual, users, visualization, based, analysis, time, techniques, using, visualizations",Creative User-Centered Visualization Design for Energy Analysts and Modelers,1,8,3,9,13,4,6,20,18,2,7,10,5,12,17,16,14,11,15,19,57
"data, visual, using, visualization, users, based, analysis, time, results, study",Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization,8,1,6,5,14,16,2,7,15,3,4,19,11,17,13,10,12,20,9,18,58
"data, visual, visualization, time, system, visualizations, analysis, using, users, use",Entourage: Visualizing Relationships between Biological Pathways using Contextual Subsets,6,10,16,9,12,11,4,5,2,14,7,3,8,17,19,13,15,1,18,20,59
"data, visual, visualization, based, using, analysis, visualizations, study, interactive, techniques",Variant View: Visualizing Sequence Variants in their Gene Context,5,6,19,3,14,11,4,13,10,15,1,18,20,2,12,9,17,7,8,16,60
"data, system, visual, method, visualization, using, users, analysis, study, interactive",DiffAni: Visualizing Dynamic Graphs with a Hybrid of Difference Maps and Animation,10,2,14,5,9,11,13,18,19,7,1,12,4,16,3,15,8,6,20,17,61
"data, visual, visualization, method, system, analysis, different, visualizations, based, techniques",Visualizing Change over Time Using Dynamic Hierarchies: TreeVersity2 and the StemView,7,16,17,4,12,6,2,9,10,15,1,19,14,3,11,5,8,13,18,20,62
"data, system, study, interactive, visual, using, visualization, users, visualizations, analysis",Visual Compression of Workflow Visualizations with Automated Detection of Macro Motifs,4,5,6,16,15,18,17,1,10,12,9,14,8,19,11,3,7,13,2,20,63
"data, visual, visualization, analysis, users, visualizations, method, techniques, based, paper",Automatic Layout of Structured Hierarchical Reports,12,6,8,2,20,4,14,11,16,10,1,3,13,19,17,18,15,7,5,9,64
"data, visual, visualization, visualizations, method, based, analysis, using, different, techniques",Edge Compression Techniques for Visualization of Dense Directed Graphs,3,7,13,11,19,8,5,1,10,2,14,16,17,4,20,6,12,15,18,9,65
"data, visual, visualization, analysis, visualizations, method, techniques, users, time, paper",GPLOM: The Generalized Plot Matrix for Visualizing Multidimensional Multivariate Data,5,18,15,1,14,10,8,19,7,13,2,12,11,9,16,4,6,3,17,20,66
"data, visualizations, visual, method, visualization, system, study, interactive, analysis, different",Orthographic Star Coordinates,7,8,20,5,16,6,10,18,12,4,3,19,2,15,13,9,1,11,14,17,67
"data, users, using, visual, based, system, visualization, time, study, interactive",Dimension Projection Matrix/Tree: Interactive Subspace Visual Exploration and Analysis of High Dimensional Data,7,17,15,13,10,5,1,16,6,14,2,8,12,9,11,18,4,3,20,19,68
"data, visual, visualizations, visualization, based, system, method, analysis, different, techniques",Empirical Guidance on Scatterplot and Dimension Reduction Technique Choices,6,7,12,1,18,5,4,14,15,13,16,2,17,19,10,3,11,9,8,20,69
"data, visual, visualization, users, analysis, system, visualizations, based, techniques, using",Visualization of Shape Motions in Shape Space,10,5,18,2,11,7,17,14,20,6,3,13,8,16,12,4,1,9,15,19,70
"data, visual, visualization, users, using, study, interactive, analysis, based, results",Fast Blending Scheme for Molecular Surface Representation,3,10,18,1,17,4,5,2,7,15,11,20,14,16,6,9,12,13,8,19,71
"data, visual, users, time, visualization, system, analysis, use, visualizations, based",Detecting Symmetry in Scalar fields Using Augmented Extremum Graphs,4,13,19,17,10,14,12,8,15,9,1,3,6,2,16,5,11,7,18,20,72
"data, visual, visualization, analysis, system, techniques, users, method, present, study",Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,6,14,5,10,15,8,9,3,13,1,16,11,18,12,2,4,7,17,20,19,73
"data, method, visual, users, visualizations, system, visualization, based, different, analysis",An Information-Aware Framework for Exploring Multivariate Data Sets,7,9,20,2,10,17,12,13,16,4,8,6,18,3,19,1,11,14,5,15,74
"data, visual, visualization, using, study, interactive, users, analysis, system, results",Efficient Local Statistical Analysis via Integral Histograms with Discrete Wavelet Transform,1,14,3,6,20,5,15,16,13,11,2,10,7,9,17,19,8,4,12,18,75
"data, visual, users, based, visualization, visualizations, analysis, method, using, present",Characterizing and Visualizing Predictive Uncertainty in Numerical Ensembles Through Bayesian Model Averaging,8,17,12,1,16,18,2,6,5,4,3,10,7,15,13,11,19,20,9,14,76
"data, visual, visualization, analysis, method, study, interactive, visualizations, system, techniques",Contour Boxplots: A Method for Characterizing Uncertainty in Feature Sets from Simulation Ensembles,2,4,17,15,19,6,16,10,3,14,13,11,5,8,1,9,20,7,12,18,77
"data, visual, visualization, using, method, visualizations, analysis, study, interactive, different",Uncertainty Quantification in Linear Interpolation for Isosurface Extraction,8,9,18,4,10,2,7,19,16,3,12,11,1,17,13,14,5,6,15,20,78
"data, visual, visualizations, users, visualization, system, study, interactive, based, analysis",Coupled Ensemble Flow Line Advection and Analysis,11,14,7,1,12,20,18,16,3,17,2,8,6,4,10,13,5,9,19,15,79
"data, visual, visualization, study, interactive, system, method, users, analysis, techniques",Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles,3,6,7,1,8,15,12,11,5,2,4,17,14,16,19,9,10,13,18,20,80
"data, method, time, visual, visualizations, visualization, using, use, users, analysis",Adaptive Refinement of the Flow Map Using Sparse Samples,1,6,12,5,17,7,10,16,18,13,2,15,3,8,11,14,9,4,20,19,81
"data, visual, visualizations, visualization, analysis, time, study, interactive, different, using",Visualization of Morse Connection Graphs for Topologically Rich 2D Vector fields,16,11,6,1,19,9,15,12,3,10,2,17,4,5,18,7,14,8,13,20,82
"data, visual, using, visualization, users, analysis, results, based, techniques, study",Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,7,5,8,4,20,1,10,9,17,6,2,15,14,12,16,3,11,18,13,19,83
"data, study, interactive, visual, system, users, visualization, using, method, time",Design by Dragging: An Interface for Creative Forward and Inverse Design with Simulation Ensembles,17,11,12,4,16,15,8,6,18,5,1,19,9,2,3,10,7,13,20,14,84
"data, users, visual, visualization, using, method, time, analysis, study, interactive",A Multi-Criteria Approach to Camera Motion Design for Volume Data Animation,5,9,2,3,18,13,11,6,14,7,8,12,1,15,17,10,19,4,16,20,85
"data, method, using, visualizations, users, visual, visualization, results, system, analysis",A Lightweight Tangible 3D Interface for Interactive Visualization of Thin fiber Structures,4,11,12,13,14,9,16,5,3,7,2,15,10,19,6,8,17,1,18,20,86
"data, visual, visualizations, time, visualization, based, analysis, study, interactive, use",Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities,2,4,12,6,17,13,10,7,19,5,1,15,9,14,18,16,8,3,11,20,87
"data, users, system, based, visual, using, visualizations, visualization, method, time",A Systematic Review on the Practice of Evaluating Visualization,13,4,10,1,18,14,9,7,12,11,3,19,2,17,16,15,5,6,8,20,88
"data, visual, visualizations, visualization, method, analysis, system, users, time, techniques",Interactive Patient-Specific Vascular Modeling with Sweep Surfaces,4,10,19,14,8,20,7,16,13,3,1,17,5,12,15,11,2,9,6,18,89
"data, study, interactive, visual, visualization, visualizations, users, using, analysis, time",Area-Preservation Mapping using Optimal Mass Transport,4,3,11,5,7,2,15,6,14,8,10,16,18,17,12,9,13,1,20,19,90
"data, based, system, visual, users, visualization, visualizations, different, analysis, using",Colon Flattening Using Heat Diffusion Riemannian Metric,4,6,12,5,11,7,10,8,9,14,2,15,16,13,19,3,1,17,18,20,91
"data, time, visual, system, visualization, users, study, interactive, based, use",Vessel Visualization using Curved Surface Reformation,8,2,12,1,11,15,18,19,3,9,5,14,10,17,13,16,6,4,7,20,92
"data, using, visual, visualizations, visualization, time, results, system, analysis, method",ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data,4,13,15,5,16,6,12,18,19,7,3,8,14,20,11,2,9,1,10,17,93
"data, visual, visualization, based, users, analysis, method, visualizations, using, techniques",ManyVis: Multiple Applications in an Integrated Visualization Environment,16,1,18,8,14,7,12,15,11,2,20,10,13,17,5,3,4,6,9,19,94
"data, visual, visualization, study, interactive, users, visualizations, using, analysis, based",Acuity-Driven Gigapixel Visualization,8,9,14,1,16,6,18,19,4,2,12,13,5,15,11,3,7,10,17,20,95
"data, visual, visualization, system, using, analysis, visualizations, method, different, time",An Exploration Framework to Identify and Track Movement of Cloud Systems,5,10,15,4,9,11,1,17,12,3,2,8,19,16,6,13,7,14,18,20,96
"data, visual, users, visualization, analysis, based, system, time, method, techniques",MObjects--A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data,1,8,16,4,18,9,3,6,14,2,11,20,15,17,10,13,12,5,7,19,97
"data, visual, visualization, visualizations, analysis, users, system, study, interactive, based",GRACE: A Visual Comparison Framework for Integrated Spatial and Non-Spatial Geriatric Data,4,9,6,1,20,17,7,18,16,12,3,19,14,8,10,5,2,13,11,15,98
"data, system, visual, users, visualization, using, analysis, visualizations, time, based",Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data,9,4,16,3,17,14,7,15,8,1,2,12,20,18,5,11,6,10,19,13,99
"data, visual, visualization, users, analysis, system, techniques, based, time, visualizations",Ambient Volume Scattering,5,18,10,3,6,11,7,15,17,2,1,14,20,16,8,4,13,9,12,19,100
"data, using, visualizations, system, visual, based, time, results, visualization, method",Lighting Design for Globally Illuminated Volume Rendering,2,15,20,1,7,8,14,13,9,18,11,4,3,5,12,6,10,17,19,16,101
"data, visual, visualization, analysis, users, study, interactive, techniques, method, different",Generalized Topological Simplification of Scalar fields on Surfaces,10,20,16,14,17,12,5,11,6,8,7,18,4,15,13,1,3,2,9,19,102
"data, visual, users, visualization, system, analysis, study, interactive, method, time",Computing Morse-Smale Complexes with Accurate Geometry,6,13,20,5,8,4,2,11,7,16,1,10,14,17,18,3,15,12,9,19,103
"data, method, visual, users, visualizations, visualization, system, based, analysis, using",Visualization of Temporal Similarity in field Data,2,6,3,4,18,12,9,5,10,1,7,16,13,15,11,17,14,8,19,20,104
"data, system, visual, visualization, method, analysis, visualizations, users, using, present",Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,13,3,14,10,18,19,1,5,2,4,16,6,17,15,11,7,9,8,12,20,105
"data, visualizations, visual, visualization, system, users, using, analysis, time, techniques",Augmented Topological Descriptors of Pore Networks for Material Science,9,7,8,5,16,1,3,11,19,10,4,12,2,17,15,6,14,20,13,18,106
